SubjectID,SessionID,Condition,BlockNumber,TaskType,TrialType,Response,Latency,Correct,Phase,Frequency
1,1,A,1,2,start,0,2.3,NaN,45,4Hz
1,1,A,1,2,start,176,0.736,0,45,4Hz
1,1,A,1,2,target,112,0.372,1,45,4Hz
1,1,A,1,2,target,112,0.408,1,45,4Hz
1,1,A,1,2,nontarget,176,0.407,1,45,4Hz
1,1,A,1,2,nontarget,112,0.528,0,45,4Hz
1,1,A,1,2,nontarget,176,0.476,1,45,4Hz
1,1,A,1,2,nontarget,176,0.622,1,45,4Hz
1,1,A,1,2,nontarget,176,0.73,1,45,4Hz
1,1,A,1,2,target,176,0.33,0,45,4Hz
1,1,A,1,2,nontarget,176,0.751,1,45,4Hz
1,1,A,1,2,target,112,0.565,1,45,4Hz
1,1,A,1,2,target,176,0.53,0,45,4Hz
1,1,A,1,2,nontarget,176,0.49,1,45,4Hz
1,1,A,1,2,nontarget,176,0.535,1,45,4Hz
1,1,A,1,2,nontarget,176,0.497,1,45,4Hz
1,1,A,1,2,target,176,0.477,0,45,4Hz
1,1,A,1,2,target,176,0.52,0,45,4Hz
1,1,A,1,2,target,112,1.254,NaN,45,4Hz
1,1,A,1,2,nontarget,176,0.457,1,45,4Hz
1,1,A,1,2,target,112,0.5,1,45,4Hz
1,1,A,1,2,nontarget,176,0.493,1,45,4Hz
1,1,A,1,2,nontarget,176,0.532,1,45,4Hz
1,1,A,1,2,nontarget,176,0.526,1,45,4Hz
1,1,A,1,2,nontarget,112,0.539,0,45,4Hz
1,1,A,1,2,nontarget,176,0.52,1,45,4Hz
1,1,A,1,2,target,176,0.524,0,45,4Hz
1,1,A,1,2,nontarget,176,0.419,1,45,4Hz
1,1,A,1,2,nontarget,176,0.74,1,45,4Hz
1,1,A,1,2,nontarget,176,0.416,1,45,4Hz
1,1,A,1,2,nontarget,176,0.427,1,45,4Hz
1,1,A,1,2,nontarget,176,0.934,1,45,4Hz
1,1,A,1,2,nontarget,112,0.62,0,45,4Hz
1,1,A,1,2,nontarget,176,0.504,1,45,4Hz
1,1,A,1,2,target,112,0.399,1,45,4Hz
1,1,A,1,2,target,112,0.83,1,45,4Hz
1,1,A,1,2,nontarget,176,0.527,1,45,4Hz
1,1,A,1,2,nontarget,176,0.426,1,45,4Hz
1,1,A,1,2,nontarget,176,0.924,1,45,4Hz
1,1,A,1,2,nontarget,176,1.027,NaN,45,4Hz
1,1,A,1,2,nontarget,0,2.1,NaN,45,4Hz
1,1,A,1,2,target,112,0.632,1,45,4Hz
1,1,A,1,2,nontarget,176,0.593,1,45,4Hz
1,1,A,1,2,target,112,0.376,1,45,4Hz
1,1,A,1,2,target,112,0.695,1,45,4Hz
1,1,A,1,2,nontarget,176,0.583,1,45,4Hz
1,1,A,1,2,target,112,0.36,1,45,4Hz
1,1,A,1,2,nontarget,176,0.868,1,45,4Hz
1,1,A,1,2,nontarget,176,0.619,1,45,4Hz
1,1,A,1,2,nontarget,176,0.495,1,45,4Hz
1,1,A,1,2,nontarget,112,0.734,0,45,4Hz
1,1,A,1,2,nontarget,112,0.595,0,45,4Hz
1,1,A,1,2,target,112,0.656,1,45,4Hz
1,1,A,1,2,target,112,0.572,1,45,4Hz
1,1,A,1,2,target,112,0.636,1,45,4Hz
1,1,A,1,2,nontarget,176,0.435,1,45,4Hz
1,1,A,1,2,nontarget,112,0.375,0,45,4Hz
1,1,A,1,2,target,176,0.863,0,45,4Hz
1,1,A,1,2,nontarget,176,0.891,1,45,4Hz
1,1,A,1,2,target,112,0.579,1,45,4Hz
1,1,A,1,2,target,112,0.688,1,45,4Hz
1,1,A,1,2,nontarget,176,0.966,1,45,4Hz
1,1,A,1,2,nontarget,176,0.729,1,45,4Hz
1,1,A,1,2,nontarget,176,0.582,1,45,4Hz
1,1,A,1,2,target,176,0.498,0,45,4Hz
1,1,A,1,2,target,112,0.748,1,45,4Hz
1,1,A,1,2,nontarget,176,0.615,1,45,4Hz
1,1,A,1,2,nontarget,112,0.672,0,45,4Hz
1,1,A,1,2,nontarget,176,0.552,1,45,4Hz
1,1,A,1,2,nontarget,176,0.647,1,45,4Hz
1,1,A,1,2,nontarget,176,0.539,1,45,4Hz
1,1,A,1,2,nontarget,112,0.536,0,45,4Hz
1,1,A,1,2,target,112,0.618,1,45,4Hz
1,1,A,1,2,nontarget,176,0.444,1,45,4Hz
1,1,A,1,2,nontarget,176,0.578,1,45,4Hz
1,1,A,1,2,target,112,0.625,1,45,4Hz
1,1,A,1,2,nontarget,176,0.575,1,45,4Hz
1,1,A,1,2,nontarget,112,0.559,0,45,4Hz
1,1,A,1,2,nontarget,176,0.576,1,45,4Hz
1,1,A,1,2,target,176,0.519,0,45,4Hz
1,1,A,1,2,nontarget,176,0.576,1,45,4Hz
1,1,A,1,2,nontarget,176,0.931,1,45,4Hz
1,1,A,2,3,start,0,2.3,NaN,45,4Hz
1,1,A,2,3,start,0,2.3,NaN,45,4Hz
1,1,A,2,3,start,176,0.993,0,45,4Hz
1,1,A,2,3,target,112,0.378,1,45,4Hz
1,1,A,2,3,target,112,0.325,1,45,4Hz
1,1,A,2,3,nontarget,176,0.476,1,45,4Hz
1,1,A,2,3,nontarget,176,0.486,1,45,4Hz
1,1,A,2,3,target,112,0.753,1,45,4Hz
1,1,A,2,3,target,112,0.863,1,45,4Hz
1,1,A,2,3,nontarget,176,0.738,1,45,4Hz
1,1,A,2,3,nontarget,176,0.532,1,45,4Hz
1,1,A,2,3,target,112,1.006,NaN,45,4Hz
1,1,A,2,3,nontarget,176,0.584,1,45,4Hz
1,1,A,2,3,nontarget,176,0.773,1,45,4Hz
1,1,A,2,3,nontarget,176,0.509,1,45,4Hz
1,1,A,2,3,nontarget,176,0.487,1,45,4Hz
1,1,A,2,3,nontarget,176,0.723,1,45,4Hz
1,1,A,2,3,nontarget,176,0.724,1,45,4Hz
1,1,A,2,3,nontarget,176,0.531,1,45,4Hz
1,1,A,2,3,nontarget,112,0.628,0,45,4Hz
1,1,A,2,3,nontarget,176,0.502,1,45,4Hz
1,1,A,2,3,target,176,0.861,0,45,4Hz
1,1,A,2,3,nontarget,0,2.5,NaN,45,4Hz
1,1,A,2,3,nontarget,176,0.616,1,45,4Hz
1,1,A,2,3,target,176,0.443,0,45,4Hz
1,1,A,2,3,nontarget,176,0.36,1,45,4Hz
1,1,A,2,3,nontarget,176,0.512,1,45,4Hz
1,1,A,2,3,nontarget,112,0.986,0,45,4Hz
1,1,A,2,3,target,112,0.844,1,45,4Hz
1,1,A,2,3,target,176,0.573,0,45,4Hz
1,1,A,2,3,nontarget,176,0.46,1,45,4Hz
1,1,A,2,3,nontarget,176,0.426,1,45,4Hz
1,1,A,2,3,nontarget,176,0.358,1,45,4Hz
1,1,A,2,3,nontarget,176,0.617,1,45,4Hz
1,1,A,2,3,nontarget,176,0.612,1,45,4Hz
1,1,A,2,3,target,112,0.492,1,45,4Hz
1,1,A,2,3,nontarget,176,0.58,1,45,4Hz
1,1,A,2,3,target,176,0.613,0,45,4Hz
1,1,A,2,3,target,112,0.749,1,45,4Hz
1,1,A,2,3,target,112,0.673,1,45,4Hz
1,1,A,2,3,nontarget,112,1.038,NaN,45,4Hz
1,1,A,2,3,nontarget,176,0.699,1,45,4Hz
1,1,A,2,3,nontarget,176,0.729,1,45,4Hz
1,1,A,2,3,nontarget,112,0.833,0,45,4Hz
1,1,A,2,3,nontarget,176,0.867,1,45,4Hz
1,1,A,2,3,nontarget,176,0.495,1,45,4Hz
1,1,A,2,3,target,176,0.691,0,45,4Hz
1,1,A,2,3,target,112,0.353,1,45,4Hz
1,1,A,2,3,nontarget,176,0.946,1,45,4Hz
1,1,A,2,3,nontarget,176,0.884,1,45,4Hz
1,1,A,2,3,nontarget,176,0.877,1,45,4Hz
1,1,A,2,3,nontarget,112,0.834,0,45,4Hz
1,1,A,2,3,target,112,0.598,1,45,4Hz
1,1,A,2,3,nontarget,176,0.486,1,45,4Hz
1,1,A,2,3,nontarget,176,0.534,1,45,4Hz
1,1,A,2,3,target,112,0.759,1,45,4Hz
1,1,A,2,3,nontarget,176,0.721,1,45,4Hz
1,1,A,2,3,nontarget,176,0.613,1,45,4Hz
1,1,A,2,3,target,176,0.357,0,45,4Hz
1,1,A,2,3,target,176,0.707,0,45,4Hz
1,1,A,2,3,nontarget,176,0.744,1,45,4Hz
1,1,A,2,3,nontarget,176,0.61,1,45,4Hz
1,1,A,2,3,nontarget,176,0.628,1,45,4Hz
1,1,A,2,3,nontarget,176,0.942,1,45,4Hz
1,1,A,2,3,nontarget,176,0.657,1,45,4Hz
1,1,A,2,3,target,176,0.501,0,45,4Hz
1,1,A,2,3,target,176,0.691,0,45,4Hz
1,1,A,2,3,nontarget,176,0.633,1,45,4Hz
1,1,A,2,3,nontarget,176,0.552,1,45,4Hz
